"n_participant","n_items","prevalence_type","seed","total_runtime","no_of_cores","name"
150,120,"equal",1261,2450.2565870285,16,"AMD EPYC 9B45"
150,120,"equal",1262,2534.4733774662,16,"AMD EPYC 9B45"
150,120,"equal",1263,2473.75563406944,16,"AMD EPYC 9B45"
150,120,"equal",1264,2512.83480477333,16,"AMD EPYC 9B45"
150,120,"equal",1265,2415.47699570656,16,"AMD EPYC 9B45"
150,120,"equal",1266,2439.29839158058,16,"AMD EPYC 9B45"
150,120,"equal",1267,2480.44582557678,16,"AMD EPYC 9B45"
150,120,"equal",1268,2527.22998070717,16,"AMD EPYC 9B45"
150,120,"equal",1269,2478.68621277809,16,"AMD EPYC 9B45"
150,120,"equal",1270,2441.48485994339,16,"AMD EPYC 9B45"
150,120,"equal",1271,2442.96357965469,16,"AMD EPYC 9B45"
150,120,"equal",1272,2409.45150923729,16,"AMD EPYC 9B45"
150,120,"equal",1273,2379.01294946671,16,"AMD EPYC 9B45"
150,120,"equal",1274,2391.02536821365,16,"AMD EPYC 9B45"
150,120,"equal",1275,2427.49869346619,16,"AMD EPYC 9B45"
150,120,"equal",1276,2604.33581542969,16,"AMD EPYC 9B45"
150,120,"equal",1277,2399.66869139671,16,"AMD EPYC 9B45"
150,120,"equal",1278,2377.97361421585,16,"AMD EPYC 9B45"
150,120,"equal",1279,2423.0175921917,16,"AMD EPYC 9B45"
150,120,"equal",1280,2388.91724681854,16,"AMD EPYC 9B45"
150,120,"equal",1281,2392.00609850883,16,"AMD EPYC 9B45"
150,120,"equal",1282,2398.3922753334,16,"AMD EPYC 9B45"
150,120,"equal",1283,2385.23794651031,16,"AMD EPYC 9B45"
300,120,"equal",1234,4422.61543250084,16,"AMD EPYC 9B45"
300,120,"equal",1235,4479.55438089371,16,"AMD EPYC 9B45"
300,120,"equal",1236,4372.30315637589,16,"AMD EPYC 9B45"
300,120,"equal",1237,4373.93653178215,16,"AMD EPYC 9B45"
300,120,"equal",1238,4358.39540553093,16,"AMD EPYC 9B45"
300,120,"equal",1239,4453.49708104134,16,"AMD EPYC 9B45"
300,120,"equal",1240,4502.93270039558,16,"AMD EPYC 9B45"
300,120,"equal",1241,4478.9041686058,16,"AMD EPYC 9B45"
300,120,"equal",1242,4606.7856695652,16,"AMD EPYC 9B45"
300,120,"equal",1243,4631.64953374863,16,"AMD EPYC 9B45"
300,120,"equal",1244,4482.31883406639,16,"AMD EPYC 9B45"
300,120,"equal",1245,4519.50834846497,16,"AMD EPYC 9B45"
300,120,"equal",1246,4556.56590151787,16,"AMD EPYC 9B45"
300,120,"equal",1247,4494.75166630745,16,"AMD EPYC 9B45"
300,120,"equal",1248,4464.15459156036,16,"AMD EPYC 9B45"
300,120,"equal",1249,4465.22195053101,16,"AMD EPYC 9B45"
300,120,"equal",1250,4607.88605618477,16,"AMD EPYC 9B45"
300,120,"equal",1251,4690.86078047752,16,"AMD EPYC 9B45"
300,120,"equal",1252,4596.36807632446,16,"AMD EPYC 9B45"
300,120,"equal",1253,4606.0327475071,16,"AMD EPYC 9B45"
300,120,"equal",1254,4575.49431800842,16,"AMD EPYC 9B45"
300,120,"equal",1255,4600.15079522133,16,"AMD EPYC 9B45"
300,120,"equal",1256,4615.90057253838,16,"AMD EPYC 9B45"
300,120,"equal",1257,4615.14030194283,16,"AMD EPYC 9B45"
300,120,"equal",1258,4602.83523082733,16,"AMD EPYC 9B45"
300,120,"equal",1259,4622.70646190643,16,"AMD EPYC 9B45"
300,120,"equal",1260,4624.63470053673,16,"AMD EPYC 9B45"
300,120,"equal",1261,4796.31028199196,16,"AMD EPYC 9B45"
300,120,"equal",1262,4650.0968978405,16,"AMD EPYC 9B45"
300,120,"equal",1263,4600.36153125763,16,"AMD EPYC 9B45"
300,120,"equal",1264,4577.99165391922,16,"AMD EPYC 9B45"
300,120,"equal",1265,4608.77465105057,16,"AMD EPYC 9B45"
300,120,"equal",1266,4717.61490678787,16,"AMD EPYC 9B45"
300,120,"equal",1267,4748.13553500175,16,"AMD EPYC 9B45"
300,120,"equal",1268,4771.84417247772,16,"AMD EPYC 9B45"
300,120,"equal",1269,4607.97262811661,16,"AMD EPYC 9B45"
300,120,"equal",1270,4650.28385853767,16,"AMD EPYC 9B45"
300,120,"equal",1271,4780.60063505173,16,"AMD EPYC 9B45"
300,120,"equal",1272,4779.84781169891,16,"AMD EPYC 9B45"
300,120,"equal",1273,4422.44242501259,16,"AMD EPYC 9B45"
300,120,"equal",1274,4693.3768017292,16,"AMD EPYC 9B45"
300,120,"equal",1275,4480.37706828117,16,"AMD EPYC 9B45"
300,120,"equal",1276,4465.07088947296,16,"AMD EPYC 9B45"
300,120,"equal",1277,4508.28823447227,16,"AMD EPYC 9B45"
300,120,"equal",1278,4523.0879483223,16,"AMD EPYC 9B45"
300,120,"equal",1279,4464.07153296471,16,"AMD EPYC 9B45"
300,120,"equal",1280,4920.95646309853,16,"AMD EPYC 9B45"
300,120,"equal",1281,4445.44203996658,16,"AMD EPYC 9B45"
300,120,"equal",1282,4379.65519404411,16,"AMD EPYC 9B45"
300,120,"equal",1283,4478.13520264626,16,"AMD EPYC 9B45"
150,60,"extreme",1234,1073.29809141159,16,"AMD EPYC 9B45"
150,60,"extreme",1235,1091.08587479591,16,"AMD EPYC 9B45"
150,60,"extreme",1236,1084.5117046833,16,"AMD EPYC 9B45"
150,60,"extreme",1237,1067.95024323463,16,"AMD EPYC 9B45"
150,60,"extreme",1238,1079.4654147625,16,"AMD EPYC 9B45"
150,60,"extreme",1239,1090.16584610939,16,"AMD EPYC 9B45"
150,60,"extreme",1240,1109.19617700577,16,"AMD EPYC 9B45"
150,60,"extreme",1241,1116.07582187653,16,"AMD EPYC 9B45"
150,60,"extreme",1242,1122.22647428513,16,"AMD EPYC 9B45"
150,60,"extreme",1243,1170.98025345802,16,"AMD EPYC 9B45"
150,60,"extreme",1244,1116.69745588303,16,"AMD EPYC 9B45"
150,60,"extreme",1245,1104.16090726852,16,"AMD EPYC 9B45"
150,60,"extreme",1246,1110.31407427788,16,"AMD EPYC 9B45"
150,60,"extreme",1247,1113.13430738449,16,"AMD EPYC 9B45"
150,60,"extreme",1248,1088.08814883232,16,"AMD EPYC 9B45"
150,60,"extreme",1249,1126.77016782761,16,"AMD EPYC 9B45"
150,60,"extreme",1250,1118.44083786011,16,"AMD EPYC 9B45"
150,60,"extreme",1251,1145.58772158623,16,"AMD EPYC 9B45"
150,60,"extreme",1252,1117.98010659218,16,"AMD EPYC 9B45"
150,60,"extreme",1253,1124.42183589935,16,"AMD EPYC 9B45"
150,60,"extreme",1254,1119.63974022865,16,"AMD EPYC 9B45"
150,60,"extreme",1255,1128.45005178452,16,"AMD EPYC 9B45"
150,60,"extreme",1256,1136.39662432671,16,"AMD EPYC 9B45"
150,60,"extreme",1257,1138.76124048233,16,"AMD EPYC 9B45"
150,60,"extreme",1258,1127.4348487854,16,"AMD EPYC 9B45"
150,60,"extreme",1259,1144.37987923622,16,"AMD EPYC 9B45"
150,60,"extreme",1260,1120.95087242126,16,"AMD EPYC 9B45"
150,60,"extreme",1261,1147.86072611809,16,"AMD EPYC 9B45"
150,60,"extreme",1262,1123.18543696404,16,"AMD EPYC 9B45"
150,60,"extreme",1263,1135.24347305298,16,"AMD EPYC 9B45"
150,60,"extreme",1264,1141.84768891335,16,"AMD EPYC 9B45"
150,60,"extreme",1265,1126.19486713409,16,"AMD EPYC 9B45"
150,60,"extreme",1266,1146.09373927116,16,"AMD EPYC 9B45"
150,60,"extreme",1267,1143.87220811844,16,"AMD EPYC 9B45"
150,60,"extreme",1268,1217.11913824081,16,"AMD EPYC 9B45"
150,60,"extreme",1269,1132.54636311531,16,"AMD EPYC 9B45"
150,60,"extreme",1270,1138.46154069901,16,"AMD EPYC 9B45"
150,60,"extreme",1271,1122.52288818359,16,"AMD EPYC 9B45"
150,60,"extreme",1272,1091.27585101128,16,"AMD EPYC 9B45"
150,60,"extreme",1273,1095.55508923531,16,"AMD EPYC 9B45"
150,60,"extreme",1274,1108.45808959007,16,"AMD EPYC 9B45"
150,60,"extreme",1275,1097.85058689117,16,"AMD EPYC 9B45"
150,60,"extreme",1276,1099.35788416862,16,"AMD EPYC 9B45"
150,60,"extreme",1277,1084.4003970623,16,"AMD EPYC 9B45"
150,60,"extreme",1278,1098.74079942703,16,"AMD EPYC 9B45"
150,60,"extreme",1279,1080.20498538017,16,"AMD EPYC 9B45"
150,60,"extreme",1280,1087.28046345711,16,"AMD EPYC 9B45"
150,60,"extreme",1281,1094.42168998718,16,"AMD EPYC 9B45"
150,60,"extreme",1282,1108.06070613861,16,"AMD EPYC 9B45"
150,60,"extreme",1283,1089.12692761421,16,"AMD EPYC 9B45"
300,60,"extreme",1234,2209.30281281471,16,"AMD EPYC 9B45"
300,60,"extreme",1235,2256.81963157654,16,"AMD EPYC 9B45"
300,60,"extreme",1236,2239.28296279907,16,"AMD EPYC 9B45"
300,60,"extreme",1237,2228.2574441433,16,"AMD EPYC 9B45"
300,60,"extreme",1238,2231.43961572647,16,"AMD EPYC 9B45"
300,60,"extreme",1239,2243.31591200829,16,"AMD EPYC 9B45"
300,60,"extreme",1240,2281.90860748291,16,"AMD EPYC 9B45"
300,60,"extreme",1241,2306.38626980782,16,"AMD EPYC 9B45"
300,60,"extreme",1242,2356.79595065117,16,"AMD EPYC 9B45"
300,60,"extreme",1243,2383.07566618919,16,"AMD EPYC 9B45"
300,60,"extreme",1244,2274.48610639572,16,"AMD EPYC 9B45"
300,60,"extreme",1245,2284.54523992538,16,"AMD EPYC 9B45"
300,60,"extreme",1246,2312.60551357269,16,"AMD EPYC 9B45"
300,60,"extreme",1247,2337.91290831566,16,"AMD EPYC 9B45"
300,60,"extreme",1248,2264.94251656532,16,"AMD EPYC 9B45"
300,60,"extreme",1249,2304.247351408,16,"AMD EPYC 9B45"
300,60,"extreme",1250,2310.500259161,16,"AMD EPYC 9B45"
300,60,"extreme",1251,2344.29295396805,16,"AMD EPYC 9B45"
300,60,"extreme",1252,2336.02787232399,16,"AMD EPYC 9B45"
300,60,"extreme",1253,2350.21485805511,16,"AMD EPYC 9B45"
300,60,"extreme",1254,2345.28002333641,16,"AMD EPYC 9B45"
300,60,"extreme",1255,2335.99670696259,16,"AMD EPYC 9B45"
300,60,"extreme",1256,2363.23473072052,16,"AMD EPYC 9B45"
300,60,"extreme",1257,2345.51249527931,16,"AMD EPYC 9B45"
300,60,"extreme",1258,2385.30457735062,16,"AMD EPYC 9B45"
300,60,"extreme",1259,2358.12580561638,16,"AMD EPYC 9B45"
300,60,"extreme",1260,2301.91280198097,16,"AMD EPYC 9B45"
300,60,"extreme",1261,2327.65170669556,16,"AMD EPYC 9B45"
300,60,"extreme",1262,2378.56886506081,16,"AMD EPYC 9B45"
300,60,"extreme",1263,2346.66053342819,16,"AMD EPYC 9B45"
300,60,"extreme",1264,2336.51665759087,16,"AMD EPYC 9B45"
300,60,"extreme",1265,2318.34103631973,16,"AMD EPYC 9B45"
300,60,"extreme",1266,2369.28130221367,16,"AMD EPYC 9B45"
300,60,"extreme",1267,2385.34866428375,16,"AMD EPYC 9B45"
300,60,"extreme",1268,2482.63957095146,16,"AMD EPYC 9B45"
300,60,"extreme",1269,2517.47109341621,16,"AMD EPYC 9B45"
300,60,"extreme",1270,2331.47429013252,16,"AMD EPYC 9B45"
300,60,"extreme",1271,2295.77617192268,16,"AMD EPYC 9B45"
300,60,"extreme",1272,2261.11835193634,16,"AMD EPYC 9B45"
300,60,"extreme",1273,2227.96607804298,16,"AMD EPYC 9B45"
300,60,"extreme",1274,2245.47088694572,16,"AMD EPYC 9B45"
300,60,"extreme",1275,2279.05398392677,16,"AMD EPYC 9B45"
300,60,"extreme",1276,2242.99942326546,16,"AMD EPYC 9B45"
300,60,"extreme",1277,2272.28368186951,16,"AMD EPYC 9B45"
300,60,"extreme",1278,2270.54447507858,16,"AMD EPYC 9B45"
300,60,"extreme",1279,2263.76709723473,16,"AMD EPYC 9B45"
300,60,"extreme",1280,2278.94629406929,16,"AMD EPYC 9B45"
300,60,"extreme",1281,2251.27586007118,16,"AMD EPYC 9B45"
300,60,"extreme",1282,2226.86463952065,16,"AMD EPYC 9B45"
300,60,"extreme",1283,2213.64307594299,16,"AMD EPYC 9B45"
