n_participant,n_items,prevalence_type,seed,total_runtime,no_of_cores,name
150,60,extreme,1274,922.6804831027983,6,Apple M1
300,60,extreme,1273,1916.131315946579,6,Apple M1
150,120,equal,1274,1059.6094019412994,6,Apple M1
300,120,equal,1273,2104.8740820884705,6,Apple M1
150,120,extreme,1274,2201.288702249527,6,Apple M1
300,120,extreme,1273,4257.564826965332,6,Apple M1
150,60,extreme,1275,414.60871291160583,6,Apple M1
300,60,equal,1274,3651.207030057907,6,Apple M1
150,60,equal,1275,1692.7343649864197,6,Apple M1
300,60,extreme,1274,4101.526843070984,6,Apple M1
300,120,equal,1274,3826.203293800354,6,Apple M1
150,120,equal,1275,850.4108991622925,6,Apple M1
300,120,extreme,1274,3968.33702301979,6,Apple M1
150,120,extreme,1275,2042.4921882152555,6,Apple M1
150,60,equal,1276,7410.039284944534,6,Apple M1
150,60,extreme,1276,6315.706292152405,6,Apple M1
300,60,equal,1275,8535.249095916748,6,Apple M1
300,60,extreme,1275,8523.106622934341,6,Apple M1
300,120,equal,1275,8515.86996603012,6,Apple M1
150,120,equal,1276,928.0728878974916,6,Apple M1
150,120,extreme,1276,1015.154007911682,6,Apple M1
300,120,extreme,1275,8884.601958274841,6,Apple M1
150,60,equal,1277,5964.142848968506,6,Apple M1
150,60,extreme,1277,5936.3655071258545,6,Apple M1
300,60,equal,1276,7101.161837100983,6,Apple M1
300,60,extreme,1276,6909.932817935944,6,Apple M1
300,120,equal,1276,7022.344821929932,6,Apple M1
150,120,equal,1277,836.2644429206848,6,Apple M1
300,120,extreme,1276,7286.250997066498,6,Apple M1
150,120,extreme,1277,983.7157788276672,6,Apple M1
150,60,equal,1278,3354.6016488075256,6,Apple M1
300,60,equal,1277,4383.527765035629,6,Apple M1
150,60,extreme,1278,3497.3236348629,6,Apple M1
300,60,extreme,1277,4546.446753025055,6,Apple M1
300,120,equal,1277,4627.295689821243,6,Apple M1
150,120,equal,1278,1063.068114042282,6,Apple M1
150,120,extreme,1278,1259.2661571502686,6,Apple M1
300,120,extreme,1277,5188.966803073883,6,Apple M1
300,60,equal,1278,1910.487095117569,6,Apple M1
150,60,equal,1279,930.2792000770568,6,Apple M1
150,60,extreme,1279,852.3152010440826,6,Apple M1
300,60,extreme,1278,1946.1841549873352,6,Apple M1
300,120,equal,1278,1981.2270410060885,6,Apple M1
150,120,equal,1279,956.3635268211364,6,Apple M1
150,120,extreme,1279,1037.6311180591583,6,Apple M1
300,120,extreme,1278,2685.850152015686,6,Apple M1
300,60,equal,1279,1915.4650008678436,6,Apple M1
150,60,equal,1280,889.3452377319336,6,Apple M1
150,60,extreme,1280,601.2176189422607,6,Apple M1
300,60,extreme,1279,1797.6480901241302,6,Apple M1
300,120,equal,1279,2034.633348941803,6,Apple M1
150,120,extreme,1280,666.5021767616272,6,Apple M1
150,120,equal,1280,901.3541078567504,6,Apple M1
300,120,extreme,1279,2302.722320318222,6,Apple M1
150,60,equal,1281,868.9513511657715,6,Apple M1
300,60,extreme,1280,1755.2488021850586,6,Apple M1
150,60,extreme,1281,887.9206781387329,6,Apple M1
300,60,equal,1280,1964.8887927532196,6,Apple M1
150,120,equal,1281,533.4184560775757,6,Apple M1
150,120,extreme,1281,516.4165170192719,6,Apple M1
300,120,equal,1280,1899.2944769859312,6,Apple M1
300,120,extreme,1280,2065.5390589237213,6,Apple M1
300,60,equal,1281,1050.600438117981,6,Apple M1
150,60,equal,1282,796.1061189174652,6,Apple M1
150,60,extreme,1282,927.5159811973572,6,Apple M1
300,60,extreme,1281,1600.399363040924,6,Apple M1
150,120,equal,1282,997.4439589977264,6,Apple M1
300,120,equal,1281,1955.8508059978485,6,Apple M1
150,120,extreme,1282,1159.899045944214,6,Apple M1
300,120,extreme,1281,2218.0671439170837,6,Apple M1
300,60,extreme,1282,1410.1804931163788,6,Apple M1
150,60,equal,1283,755.1965322494507,6,Apple M1
300,60,equal,1282,1748.238171339035,6,Apple M1
150,60,extreme,1283,862.1642320156097,6,Apple M1
150,120,equal,1283,383.9509470462799,6,Apple M1
300,120,equal,1282,1939.452929019928,6,Apple M1
150,120,extreme,1283,998.8641641139984,6,Apple M1
300,120,extreme,1282,2049.998983860016,6,Apple M1
300,60,equal,1283,1387.55562210083,6,Apple M1
300,60,extreme,1283,1529.203087091446,6,Apple M1
300,120,equal,1283,1743.3337190151217,6,Apple M1
300,120,extreme,1283,1474.623172044754,6,Apple M1
