"n_participant","n_items","prevalence_type","seed","no_of_cores","name","internal_assign","external_assign","sequential_assign","integrative_assign","guess_assign","bias1_assign","bias2_assign","total_runtime_assign","internal_refit_loo","external_refit_loo","sequential_refit_loo","integrative_refit_loo","guess_refit_loo","bias1_refit_loo","bias2_refit_loo","internal_refit_waic","external_refit_waic","sequential_refit_waic","integrative_refit_waic","guess_refit_waic","bias1_refit_waic","bias2_refit_waic","total_runtime_refit_loo","total_runtime_refit_waic"
150,60,"equal",1271,4,"AMD EPYC 9B45",114.028265237808,23.0510146617889,249.394378185272,156.549985408783,21.6391170024872,21.7531843185425,21.6968672275543,608.112812042236,29.4175546169281,2.93842029571533,66.0950465202332,21.7830536365509,2.74294066429138,0.882215976715088,0.855673313140869,30.5768992900848,2.85513377189636,57.5581486225128,23.9474864006042,3.24495577812195,1.32965970039368,1.23850202560425,124.714905023575,120.750785589218
150,60,"equal",1272,4,"AMD EPYC 9B45",110.099759817123,21.2577891349792,243.532060861588,149.877166986465,20.6368050575256,21.7294485569,21.1933958530426,588.326426267624,25.6752181053162,3.39920401573181,68.8652725219727,22.7898833751678,1.82916951179504,0.698341608047485,1.37859058380127,27.6770005226135,3.58990025520325,71.9553241729736,22.8652906417847,2.13185667991638,1.07628846168518,1.49585223197937,124.635679721832,130.791512966156
150,60,"equal",1273,4,"AMD EPYC 9B45",108.676885843277,22.0087153911591,242.218946695328,157.230967760086,21.7874755859375,21.4433875083923,21.7094657421112,595.075844526291,24.9949085712433,2.86171555519104,58.9475698471069,31.2477240562439,2.58678650856018,1.01608729362488,0.869609355926514,28.2207937240601,3.10332465171814,57.9295833110809,32.1357600688934,2.60574388504028,1.32473611831665,1.30331683158875,122.524401187897,126.623258590698
150,60,"equal",1274,4,"AMD EPYC 9B45",112.674177408218,21.6171157360077,251.369574546814,155.330833673477,22.6470103263855,21.5780959129333,21.318377494812,606.535185098648,19.9913816452026,4.07453203201294,60.2619912624359,19.4774270057678,3.86412739753723,0.837127208709717,1.01141285896301,18.3855066299438,4.10505962371826,65.8212523460388,20.8783023357391,4.314288854599,1.03529143333435,1.45783257484436,109.517999410629,115.997533798218
150,60,"equal",1275,4,"AMD EPYC 9B45",108.244312286377,23.0205328464508,244.811772584915,154.060114622116,21.0680027008057,21.9253747463226,22.0681798458099,595.198289632797,30.3731441497803,3.21395397186279,55.380321264267,17.6879320144653,3.46555018424988,0.715027332305908,1.01261377334595,27.6990892887115,3.5454568862915,61.9655208587646,18.9551961421967,3.73224282264709,0,1.24138045310974,111.848542690277,117.138886451721
150,60,"equal",1276,8,"Apple M1",116.037029981613,19.2842309474945,777.039649009705,2125.21677613258,14.6578688621521,1034.05737781525,15.125002861023,4101.41793560982,23.081759929657,2.8634090423584,955.409678936005,28.4549601078033,1.50726103782654,0.88033390045166,1.04020595550537,30.2471299171448,2.50670099258423,52.0642490386963,32.5414419174194,1.80683088302612,1.27626299858093,1.19167494773865,1013.23760890961,121.63429069519
150,60,"equal",1277,8,"Apple M1",123.99066400528,19.6008830070496,269.183812856674,142.183851957321,19.245099067688,19.6394779682159,19.5486979484558,613.392486810684,23.9961152076721,3.71149492263794,71.010782957077,24.6529409885406,1.97004795074463,1.20167517662048,1.41749501228333,26.3729300498962,3.34050583839417,69.6325759887695,29.8607559204102,2.38551497459412,1.23936891555786,1.50899410247803,127.960552215576,134.3406457901
150,60,"equal",1278,8,"Apple M1",163.566740036011,29.5291748046875,327.90874505043,168.532754182816,23.2281858921051,22.4308950901031,24.4378349781036,759.634330034256,34.7274529933929,3.5752899646759,90.1408860683441,35.6285109519958,3.55305314064026,1.15561699867249,1.41577100753784,31.129762172699,3.13222599029541,746.979664087296,209.746383905411,3.79573202133179,1.92721819877625,1.58375597000122,170.196581125259,998.29474234581
150,60,"equal",1279,8,"Apple M1",125.312473058701,20.1863558292389,271.460752010345,168.487584114075,18.7314569950104,22.538782119751,25.3125491142273,652.029953241348,322.807801008224,2.93919897079468,855.459448814392,25.7649488449097,2.52866697311401,1.03637981414795,1.0121750831604,27.1029598712921,3.19528484344482,55.3588440418243,28.6047298908234,2.25503301620483,1.26230311393738,1.41930389404297,1211.54861950874,119.19845867157
150,60,"equal",1280,8,"Apple M1",228.951624155045,20.065526008606,235.615087985992,172.80020904541,17.3438420295715,17.9114949703217,17.6693978309631,710.357182025909,20.5839860439301,3.14235401153564,66.8939549922943,24.1465768814087,2.56454086303711,0.988085985183716,0.853540182113647,19.0022921562195,3.25320887565613,73.8980991840363,25.0931310653687,2.92573499679565,1.16690492630005,1.18399000167847,119.173038959503,126.523361206055
