"n_items","n_participants","prevalence","method","seed","accuracy","precision","recall","f1"
60,300,"extreme","bf_ps","1235",0.916666666666667,0.893087037186416,0.861954885304086,0.865103803978254
60,300,"extreme","psis","1235",0.72,0.725714775338836,0.563307307955256,0.597021951706685
60,300,"extreme","waic","1235",0.69,0.647917374313312,0.521582759974981,0.638944206678312
60,300,"extreme","hbi","1235",0.89,0.860128461026665,0.828362964929379,0.819764744985815
120,300,"equal","bf_ps","1235",0.876666666666667,0.891059398317463,0.864057009243345,0.867496614440992
120,300,"equal","psis","1235",0.536666666666667,0.728554659436131,0.557512405235734,0.505433607330483
120,300,"equal","waic","1235",0.573333333333333,0.731880016847603,0.587436719138857,0.55516647703073
120,300,"equal","hbi","1235",0.793333333333333,0.703804797225459,0.755707968806252,0.843058829692493
120,300,"extreme","bf_ps","1235",0.936666666666667,0.9236517698327,0.889316239316239,0.89982624514777
120,300,"extreme","psis","1235",0.746666666666667,0.70199911733296,0.57345742113184,0.701280474113421
120,300,"extreme","waic","1235",0.753333333333333,0.690753433448851,0.553996649345487,0.685839062020349
120,300,"extreme","hbi","1235",0.89,0.891213968511595,0.824664224664225,0.816182115304222
60,150,"equal","bf_ps","1236",0.853333333333333,0.879166666666667,0.842325204126446,0.845312037858622
60,150,"equal","psis","1236",0.553333333333333,0.737285016248431,0.56569392101941,0.521156714518864
60,150,"equal","waic","1236",0.553333333333333,0.736225881514635,0.568196846681974,0.527204343275772
60,150,"equal","hbi","1236",0.826666666666667,0.868348861283644,0.805631738861552,0.786879836745066
60,150,"extreme","bf_ps","1236",0.906666666666667,0.865925262476987,0.811224489795918,0.820137037865994
60,150,"extreme","psis","1236",0.746666666666667,0.714777432712215,0.558803521408563,0.643264972274406
60,150,"extreme","waic","1236",0.733333333333333,0.69698703279939,0.561524609843938,0.622170554651373
60,150,"extreme","hbi","1236",0.886666666666667,0.847351061636776,0.78265306122449,0.779139743671763
120,150,"equal","bf_ps","1236",0.86,0.870923431407302,0.852426303854875,0.84994721518848
120,150,"equal","psis","1236",0.553333333333333,0.679282407407407,0.52851307422736,0.547587317991097
120,150,"equal","waic","1236",0.553333333333333,0.725057068281858,0.533945142159428,0.48094607921379
120,150,"equal","hbi","1236",0.793333333333333,0.848891108891109,0.796918319775463,0.768109243697479
120,150,"extreme","bf_ps","1236",0.926666666666667,0.903378189763878,0.880333800186741,0.883981474049576
120,150,"extreme","psis","1236",0.793333333333333,0.79707977888125,0.655627570177007,0.730244313828338
120,150,"extreme","waic","1236",0.813333333333333,0.806087608261159,0.736454049704988,0.799813686518889
120,150,"extreme","hbi","1236",0.84,0.846540666643465,0.774346405228758,0.746664573065158
60,300,"equal","bf_ps","1236",0.853333333333333,0.872428421778903,0.846984886458571,0.846382904973425
60,300,"equal","psis","1236",0.553333333333333,0.723469756627001,0.55766499582289,0.509565543903807
60,300,"equal","waic","1236",0.55,0.726806411095317,0.555425495557075,0.501701745819984
60,300,"equal","hbi","1236",0.786666666666667,0.802372465527318,0.77083048530417,0.742099451695059
60,300,"extreme","bf_ps","1236",0.93,0.905677384825566,0.874925970388155,0.886724386724387
60,300,"extreme","psis","1236",0.783333333333333,0.781843580265483,0.645949410067057,0.630116362225406
60,300,"extreme","waic","1236",0.76,0.765213097404878,0.630829331732693,0.606531166488487
60,300,"extreme","hbi","1236",0.89,0.88140645731977,0.811456582633053,0.811916797218315
120,300,"equal","bf_ps","1236",0.876666666666667,0.896164021164021,0.877843960550727,0.878058076300111
120,300,"equal","psis","1236",0.576666666666667,0.751827811613516,0.568571492122063,0.518382638748055
120,300,"equal","waic","1236",0.56,0.737989049480985,0.550778901196057,0.512351437322917
120,300,"equal","hbi","1236",0.8,0.850464871107419,0.790865149887706,0.779137501105088
120,300,"extreme","bf_ps","1236",0.906666666666667,0.899582120825963,0.851002258610954,0.863939215098062
120,300,"extreme","psis","1236",0.733333333333333,0.719301787331438,0.539471579145492,0.595344434480374
120,300,"extreme","waic","1236",0.703333333333333,0.636777146889544,0.475359966120836,0.59695158634522
120,300,"extreme","hbi","1236",0.87,0.88109420838919,0.797701392810088,0.792583672607773
60,150,"equal","bf_ps","1237",0.873333333333333,0.89906629318394,0.859631724543364,0.863581442169816
60,150,"equal","psis","1237",0.533333333333333,0.710585286746277,0.57684750737315,0.500880131622542
60,150,"equal","waic","1237",0.526666666666667,0.703296703296703,0.564659451372718,0.518052016894723
60,150,"equal","hbi","1237",0.766666666666667,0.693717703005629,0.741727252813152,0.824968237492334
60,150,"extreme","bf_ps","1237",0.906666666666667,0.898404164533197,0.831349206349206,0.843777374953381
60,150,"extreme","psis","1237",0.733333333333333,0.775959219056234,0.570281385281385,0.635504209551641
60,150,"extreme","waic","1237",0.733333333333333,0.720080482897384,0.538044733044733,0.693612510905374
60,150,"extreme","hbi","1237",0.866666666666667,0.882454594741122,0.800800865800866,0.80659923006298
120,150,"equal","bf_ps","1237",0.866666666666667,0.911027568922306,0.881038961038961,0.878004952441043
120,150,"equal","psis","1237",0.64,0.779446728904933,0.594093314093314,0.560997775567603
120,150,"equal","waic","1237",0.626666666666667,0.733587287704435,0.579278499278499,0.633051635858815
120,150,"equal","hbi","1237",0.8,0.870443349753695,0.816661856661857,0.794613189069479
120,150,"extreme","bf_ps","1237",0.946666666666667,0.931120425965787,0.891233766233766,0.88422619047619
120,150,"extreme","psis","1237",0.74,0.797033236371472,0.632074504442925,0.607332094687586
120,150,"extreme","waic","1237",0.72,0.759671907040328,0.591660970608339,0.62036888532478
120,150,"extreme","hbi","1237",0.913333333333333,0.890731292517007,0.821428571428571,0.914075993091537
60,300,"equal","bf_ps","1237",0.83,0.883299187268126,0.822150175566325,0.825522301742211
60,300,"equal","psis","1237",0.516666666666667,0.700130821559393,0.514346574750301,0.457180594028016
60,300,"equal","waic","1237",0.503333333333333,0.635480855331009,0.502034749239718,0.513281166869058
60,300,"equal","hbi","1237",0.803333333333333,0.862635556729907,0.793505941953147,0.780565624451695
60,300,"extreme","bf_ps","1237",0.9,0.855534605146406,0.838702071737786,0.832122380724865
60,300,"extreme","psis","1237",0.783333333333333,0.772309951729667,0.61139713461142,0.596604865714345
60,300,"extreme","waic","1237",0.77,0.720394757442678,0.579122861265718,0.636107355765476
60,300,"extreme","hbi","1237",0.896666666666667,0.874897693923369,0.824885332921047,0.829677589275525
120,300,"equal","bf_ps","1237",0.84,0.89001339634251,0.843949445807031,0.849659013073647
120,300,"equal","psis","1237",0.566666666666667,0.680974644261348,0.525893164283257,0.549818414869506
120,300,"equal","waic","1237",0.556666666666667,0.72103499233467,0.516516686419384,0.47145977759996
120,300,"equal","hbi","1237",0.78,0.85343257556187,0.778871644351521,0.767335785852888
120,300,"extreme","bf_ps","1237",0.946666666666667,0.919224873954291,0.893847317972093,0.899315418661468
120,300,"extreme","psis","1237",0.766666666666667,0.673702081051479,0.549963897773799,0.686835222573306
120,300,"extreme","waic","1237",0.766666666666667,0.712116641528406,0.537059074804165,0.576489998480056
120,300,"extreme","hbi","1237",0.896666666666667,0.885930251159814,0.7937536346568,0.776744421597539
60,150,"equal","bf_ps","1238",0.846666666666667,0.899231720660292,0.846414455110107,0.849872455185548
60,150,"equal","psis","1238",0.54,0.715275200989487,0.521042230081132,0.486042153335386
60,150,"equal","waic","1238",0.506666666666667,0.694644699985257,0.491285030758715,0.472190522683134
60,150,"equal","hbi","1238",0.82,0.873395512050974,0.817843026538679,0.811295946950209
60,150,"extreme","bf_ps","1238",0.94,0.94377990430622,0.880952380952381,0.906503141797259
60,150,"extreme","psis","1238",0.793333333333333,0.751812865497076,0.599404761904762,0.757753924921768
60,150,"extreme","waic","1238",0.766666666666667,0.738970588235294,0.59484126984127,0.73574582487626
60,150,"extreme","hbi","1238",0.9,0.916750596342433,0.834722222222222,0.856658131386349
120,150,"equal","bf_ps","1238",0.833333333333333,0.8752405002405,0.820909416398138,0.82375950380152
120,150,"equal","psis","1238",0.513333333333333,0.680187074829932,0.537594464850104,0.504896669187229
120,150,"equal","waic","1238",0.54,0.692285114780306,0.561958321544788,0.535684788269375
